; outfit.asi
;  Ryosuke839
;
; If you don't want to see the weapon, you have to just add ';' on the top of the line or delete the line.
; Redundant lines will be used for dual weapons or grenades.
; When you stay in pause menu for more than 1 second, this file will be reloaded and models will be reset.
; BoneID is same as used in ifp. You can check it by using GTAAnimManager.
;
; WeaponID
;	If this weapon slot is used, the model will be placed at secondary coordinate.
;		Primary coordinate					Secondary coordinate
;		BoneID	X Pos	Y Pos	Z Pos	X Rot	Y Rot	Z Rot	BoneID	X Pos	Y Pos	Z Pos	X Rot	Y Rot	Z Rot
1	-1	24	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; BRASSKNUCKLE
2	-1	3	-0.15	-0.1	-0.1	180.0	75.0	7.5	0	0.0	0.0	0.0	0.0	0.0	0.0	; GOLFCLUB
3	-1	41	0.15	0.2	0.1	7.5	97.5	-45.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; NIGHTSTICK
4	-1	41	0.15	0.15	0.05	7.5	97.5	-45.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; KNIFE
5	-1	3	-0.05	-0.1	-0.1	180.0	75.0	7.5	0	0.0	0.0	0.0	0.0	0.0	0.0	; BASEBALLBAT
6	-1	3	-0.05	-0.1	-0.1	180.0	75.0	97.5	0	0.0	0.0	0.0	0.0	0.0	0.0	; SHOVEL
7	-1	3	-0.05	-0.1	-0.1	180.0	75.0	7.5	0	0.0	0.0	0.0	0.0	0.0	0.0	; POOLCUE
8	-1	3	-0.05	-0.1	-0.1	180.0	75.0	7.5	0	0.0	0.0	0.0	0.0	0.0	0.0	; KATANA
9	-1	1	0.05	0.15	0.2	-90.0	165.0	15.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; CHAINSAW
10	-1	51	0.05	0.05	0.05	-22.5	90.0	45.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; DILDO1
11	-1	51	0.05	0.05	0.05	0.0	90.0	45.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; DILDO2
12	-1	51	0.05	0.05	0.05	0.0	90.0	45.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; VIBE1
